"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Блоки лендинга","Заголовки","3","0","4","0","0"
"","Блоки лендинга","Текст в блоке","3","0","4","0","0"
"","Header","Линки в header","0","0","5","0","0"
"","Footer","Линки в footer","0","3","2","0","0"
"","Footer","Переход на сторонний ресурс","0","3","1","0","0"
"","Блоки лендинга","Переход на сторонний ресурс","0","0","2","0","0"
"","Блоки лендинга","Кнопки","1","0","2","0","0"
"","Падающие тесты без функционала","","0","0","1","0","0"
"","Header","Кнопки","0","0","2","0","0"
"","Блоки лендинга","Логотипы","0","0","2","0","0"
"","БИГ СМОУК","","0","0","1","0","0"
"","Header","Переход на сторонний ресурс","0","0","1","0","0"
"","Footer","Логотипы","1","0","0","0","0"
"","Footer","Текст в блоке","1","0","0","0","0"
"","Блоки лендинга","Выпадающие страницы менторов","0","0","1","0","0"
"","Header","Логотипы","0","0","1","0","0"
