"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 14:29:03 GMT 2022","Tue Dec 06 14:29:03 GMT 2022","332","tests","test_LandingPage","TestLanding","","","test_opportunity_block",""
"passed","Tue Dec 06 14:28:27 GMT 2022","Tue Dec 06 14:28:28 GMT 2022","110","tests","test_LandingPage","TestLanding","","","test_link_o_nas",""
"broken","Tue Dec 06 14:30:11 GMT 2022","Tue Dec 06 14:30:11 GMT 2022","321","tests","test_LandingPage","TestLanding","","","test_link_youtube",""
"passed","Tue Dec 06 14:28:29 GMT 2022","Tue Dec 06 14:28:30 GMT 2022","152","tests","test_LandingPage","TestLanding","","","test_link_project",""
"passed","Tue Dec 06 14:29:13 GMT 2022","Tue Dec 06 14:29:13 GMT 2022","146","tests","test_LandingPage","TestLanding","","","test_project_block_header",""
"passed","Tue Dec 06 14:30:06 GMT 2022","Tue Dec 06 14:30:06 GMT 2022","553","tests","test_LandingPage","TestLanding","","","test_link_instagram",""
"passed","Tue Dec 06 14:29:32 GMT 2022","Tue Dec 06 14:29:37 GMT 2022","4709","tests","test_LandingPage","TestLanding","","","test_button_boosty",""
"passed","Tue Dec 06 14:28:37 GMT 2022","Tue Dec 06 14:28:38 GMT 2022","1055","tests","test_LandingPage","TestLanding","","","test_what_test",""
"passed","Tue Dec 06 14:28:35 GMT 2022","Tue Dec 06 14:28:36 GMT 2022","369","tests","test_LandingPage","TestLanding","","","test_theme_color_button",""
"passed","Tue Dec 06 14:29:07 GMT 2022","Tue Dec 06 14:29:07 GMT 2022","385","tests","test_LandingPage","TestLanding","","","test_why_exlab_block",""
"passed","Tue Dec 06 14:30:13 GMT 2022","Tue Dec 06 14:30:13 GMT 2022","170","tests","test_LandingPage","TestLanding","","","test_link_mail_to",""
"passed","Tue Dec 06 14:28:43 GMT 2022","Tue Dec 06 14:28:44 GMT 2022","285","tests","test_LandingPage","TestLanding","","","test_link_position",""
"broken","Tue Dec 06 14:30:04 GMT 2022","Tue Dec 06 14:30:04 GMT 2022","342","tests","test_LandingPage","TestLanding","","","test_link_linkedin",""
"passed","Tue Dec 06 14:29:09 GMT 2022","Tue Dec 06 14:29:11 GMT 2022","1908","tests","test_LandingPage","TestLanding","","","test_why_exlab_button_join",""
"failed","Tue Dec 06 14:29:26 GMT 2022","Tue Dec 06 14:29:27 GMT 2022","331","tests","test_LandingPage","TestLanding","","","test_startup_block",""
"passed","Tue Dec 06 14:28:33 GMT 2022","Tue Dec 06 14:28:34 GMT 2022","130","tests","test_LandingPage","TestLanding","","","test_link_startup",""
"passed","Tue Dec 06 14:29:15 GMT 2022","Tue Dec 06 14:29:16 GMT 2022","1047","tests","test_LandingPage","TestLanding","","","test_project_block_logo_and_text",""
"failed","Tue Dec 06 14:29:30 GMT 2022","Tue Dec 06 14:29:30 GMT 2022","373","tests","test_LandingPage","TestLanding","","","test_help_project_block",""
"passed","Tue Dec 06 14:28:23 GMT 2022","Tue Dec 06 14:28:23 GMT 2022","116","tests","test_LandingPage","TestLanding","","","test_smoke",""
"passed","Tue Dec 06 14:28:40 GMT 2022","Tue Dec 06 14:28:41 GMT 2022","1640","tests","test_LandingPage","TestLanding","","","test_join_button",""
"failed","Tue Dec 06 14:29:39 GMT 2022","Tue Dec 06 14:29:49 GMT 2022","10682","tests","test_LandingPage","TestLanding","","","test_stay_tune_block",""
"passed","Tue Dec 06 14:29:05 GMT 2022","Tue Dec 06 14:29:05 GMT 2022","313","tests","test_LandingPage","TestLanding","","","test_o_nas_block",""
"failed","Tue Dec 06 14:29:51 GMT 2022","Tue Dec 06 14:30:02 GMT 2022","10641","tests","test_LandingPage","TestLanding","","","test_logo_footer",""
"broken","Tue Dec 06 14:30:08 GMT 2022","Tue Dec 06 14:30:09 GMT 2022","340","tests","test_LandingPage","TestLanding","","","test_link_telegram",""
"passed","Tue Dec 06 14:29:18 GMT 2022","Tue Dec 06 14:29:24 GMT 2022","6108","tests","test_LandingPage","TestLanding","","","test_mentors_cards",""
"passed","Tue Dec 06 14:28:45 GMT 2022","Tue Dec 06 14:29:01 GMT 2022","15192","tests","test_LandingPage","TestLanding","","","test_logo_opportunity_block",""
"passed","Tue Dec 06 14:28:25 GMT 2022","Tue Dec 06 14:28:25 GMT 2022","87","tests","test_LandingPage","TestLanding","","","test_logo_header",""
"passed","Tue Dec 06 14:28:31 GMT 2022","Tue Dec 06 14:28:32 GMT 2022","144","tests","test_LandingPage","TestLanding","","","test_link_mentors",""
